total_bill,tip,sex,smoker,day,time,size,price_per_person,firstname,lastname,Payer Name,CC Number,Payment ID
191.27,946.55,Male,No,Tue,Meal,1,695.63,Janey,Elephus,Janey Elephus,6541658573506298,Sun8915
103.6,732,Male,No,Tue,Breakfast,3,436.54,Marylou,Hieronymus,Marylou Hieronymus,6556683764324462,Sun5044
354.26,629.21,Female,Yes,Wed,Breakfast,1,359.45,Evaleen,Miru,Evaleen Miru,6541031692721030,Sun1644
189.58,718.09,Female,No,Mon,Dinner,3,226.91,Pamella,Neva,Pamella Neva,6541273525752444,Sun4260
677.31,119.53,Female,No,Mon,Meal,2,303.66,Vivia,Berriman,Vivia Berriman,6556856351408063,Sun8852
727.22,738.5,Male,No,Thu,Dinner,4,594.97,Alex,Lenny,Alex Lenny,6541445794731196,Sun8173
738.53,856.57,Female,Yes,Thu,Dinner,1,503.03,Kary,Christal,Kary Christal,6556762286977269,Sun9271
954.81,491.25,Male,No,Sat,Dinner,1,597.41,Cam,Yam,Cam Yam,6556277890273354,Sun8438
837.76,638.52,Female,Yes,Fri,Dinner,2,917.18,Ingrid,Goth,Ingrid Goth,6541275197293929,Sun6923
272.11,35.45,Female,No,Sun,Meal,3,508.93,Merle,Santoro,Merle Santoro,6541012280376663,Sun6261
572.65,344.03,Female,No,Sun,Meal,3,118.08,Annabela,Ball,Annabela Ball,6556144251753625,Sun1907
513.33,911.4,Male,Yes,Sat,Dinner,4,597.48,Elena,Ahab,Elena Ahab,6556180863862453,Sun6717
496.95,732.74,Male,No,Tue,Dinner,2,560.02,Dorothy,Elvyn,Dorothy Elvyn,6556712280996140,Sun5594
739.49,845.69,Female,Yes,Fri,Dinner,1,822.11,Cyb,Jess,Cyb Jess,6541231903127657,Sun1581
945.81,574.14,Female,Yes,Sun,Meal,4,565.83,Cathie,Liva,Cathie Liva,6556630033234706,Sun4990
654.65,397.2,Male,No,Sat,Dinner,3,355.95,Renae,Brotherson,Renae Brotherson,6556357262574996,Sun3484
694.59,566.47,Female,Yes,Tue,Meal,4,984.14,Merry,Ledah,Merry Ledah,6556984727907982,Sun0567
504.67,836.78,Female,No,Wed,Dinner,3,301.26,Barbi,Vanni,Barbi Vanni,6541370905009236,Sun1721
983.36,448.38,Male,Yes,Sat,Dinner,2,109.86,Chrystel,Mendez,Chrystel Mendez,6541802149447819,Sun5413
148.85,549.27,Female,No,Wed,Dinner,4,504.63,Luci,Thema,Luci Thema,6556649525966807,Sun3148
382.64,93.44,Female,No,Wed,Breakfast,4,566.67,Elena,Amand,Elena Amand,6556513667970266,Sun8284
738.14,903.04,Female,No,Tue,Breakfast,1,754.57,Helena,Koziara,Helena Koziara,6556866950032250,Sun4397
381.49,36.91,Female,No,Tue,Breakfast,2,293.26,Jillayne,Roxanna,Jillayne Roxanna,6541793379153900,Sun4949
586.63,728.71,Female,No,Thu,Meal,2,863.45,Gilligan,Berriman,Gilligan Berriman,6556551239920973,Sun6001
955.71,468.7,Male,No,Fri,Dinner,1,853.13,Jaclyn,Middleton,Jaclyn Middleton,6556624657463536,Sun7963
712.04,415.11,Male,Yes,Fri,Breakfast,1,685.8,Fred,Chandler,Fred Chandler,6556170384195468,Sun0671
353.42,132.37,Male,No,Sun,Breakfast,4,372.71,Elka,Bates,Elka Bates,6556696425136968,Sun7636
460.48,621.99,Female,No,Wed,Meal,2,819.81,Deloria,Wyn,Deloria Wyn,6556481159181539,Sun5614
296.23,12.03,Male,No,Mon,Dinner,1,102.68,Hope,Saint,Hope Saint,6541962176692945,Sun2376
404.26,259.26,Male,No,Tue,Breakfast,3,114.58,Janenna,Thema,Janenna Thema,6541746302790294,Sun2982
240.7,811.95,Male,Yes,Fri,Dinner,4,695.16,Magdalena,Angelis,Magdalena Angelis,6541775575310431,Sun6516
146.12,229.8,Male,No,Mon,Meal,1,623.51,Daune,Primalia,Daune Primalia,6541477075386722,Sun5801
627.32,773.34,Female,Yes,Tue,Dinner,1,698.66,Linzy,Fax,Linzy Fax,6556489748478117,Sun3847
416.72,949.73,Female,No,Wed,Breakfast,1,799.52,Tani,Lail,Tani Lail,6541338951161691,Sun4826
989.63,243.22,Male,No,Sat,Breakfast,4,215.78,Merry,McAdams,Merry McAdams,6556698611197886,Sun2807
145.62,367.69,Male,No,Mon,Breakfast,1,851.28,Judy,Edmund,Judy Edmund,6541153065925077,Sun5796
692.09,530.31,Female,No,Thu,Breakfast,4,709.75,Addia,Fabiola,Addia Fabiola,6541722629643535,Sun8622
780.18,341.33,Male,No,Tue,Dinner,3,710.72,Darlleen,Zachary,Darlleen Zachary,6556138137738125,Sun2099
887.51,166.34,Female,Yes,Thu,Dinner,3,822.54,Tracey,Bach,Tracey Bach,6556165979814452,Sun9397
612.98,37.17,Male,Yes,Mon,Breakfast,1,463.79,Mamie,Naor,Mamie Naor,6541976468148325,Sun3152
274.4,41.74,Female,No,Fri,Meal,1,748.11,Corina,Read,Corina Read,6541588840972523,Sun3221
900.4,661.52,Male,Yes,Mon,Breakfast,3,954.06,Tilly,Cullin,Tilly Cullin,6556886262855404,Sun3481
875.91,9.8,Female,No,Wed,Meal,3,178.42,Sybille,Sholley,Sybille Sholley,6556299393066442,Sun4668
574.03,174.89,Female,Yes,Tue,Dinner,2,586.4,Aurelie,Jerald,Aurelie Jerald,6556381543037339,Sun7160
900.86,719.11,Female,No,Thu,Meal,4,477.86,Fanny,Maurine,Fanny Maurine,6541838235261249,Sun5360
831.43,664.41,Male,Yes,Tue,Meal,3,46.62,Isa,Wadell,Isa Wadell,6541135601139912,Sun3958
922.39,193.85,Female,No,Mon,Dinner,3,683.78,Aryn,Diann,Aryn Diann,6556323452769353,Sun4464
937.81,574.13,Female,No,Sat,Breakfast,3,546.14,Elise,Raseda,Elise Raseda,6556248159387356,Sun0919
811.89,988.62,Male,No,Sun,Meal,3,447.36,Jennica,Hamil,Jennica Hamil,6541776303444497,Sun6211
116.59,842.41,Male,Yes,Wed,Dinner,3,899.61,Josephine,Fiann,Josephine Fiann,6556405594744347,Sun1469
679.84,140.58,Female,Yes,Wed,Dinner,2,300.67,Asia,Dearborn,Asia Dearborn,6556801505267335,Sun8739
347.4,422.89,Female,Yes,Tue,Meal,2,899.59,Lenna,Jary,Lenna Jary,6541972778367451,Sun4972
493.92,302.03,Male,Yes,Fri,Dinner,3,59.35,Anthia,Andrel,Anthia Andrel,6556502303243595,Sun4219
176.35,94.51,Female,Yes,Tue,Dinner,3,225.06,Emylee,Korey,Emylee Korey,6556558331461923,Sun0024
537.57,615.78,Female,Yes,Tue,Breakfast,3,203.25,Larine,Stelle,Larine Stelle,6541261617630454,Sun5692
764.04,41.26,Female,Yes,Sun,Dinner,1,168.34,Ardys,Allys,Ardys Allys,6541510257443330,Sun3087
506.67,60.68,Male,No,Tue,Dinner,1,557.3,Oona,Orlene,Oona Orlene,6541875897894333,Sun0866
609.98,968.73,Female,No,Sun,Meal,2,710.02,Amelia,Raimondo,Amelia Raimondo,6541594886385138,Sun5385
897.84,353.76,Male,Yes,Sun,Breakfast,2,684.16,Gusty,Gino,Gusty Gino,6541912997515903,Sun7850
726.3,418.36,Male,Yes,Thu,Breakfast,4,165.2,Randa,Rosalba,Randa Rosalba,6541725562243389,Sun4872
432.12,31.92,Female,Yes,Wed,Breakfast,3,127.7,Kayla,Stilwell,Kayla Stilwell,6556940599851485,Sun6494
734.16,130.89,Male,Yes,Tue,Dinner,2,299.72,Valli,Smitt,Valli Smitt,6541388749730884,Sun5041
261.84,780.7,Female,No,Thu,Dinner,3,74.57,Viviene,Rossner,Viviene Rossner,6541124288406036,Sun5745
897.89,299.37,Male,No,Wed,Meal,2,627.86,Sibella,Erminia,Sibella Erminia,6541016856150537,Sun7068
243.42,141.83,Male,No,Sun,Dinner,3,344.54,Melisent,Sacken,Melisent Sacken,6541921121178512,Sun9557
499.65,94.43,Male,Yes,Mon,Breakfast,1,461.59,Christy,Ledah,Christy Ledah,6541451671694801,Sun2060
137.17,773.82,Male,Yes,Tue,Meal,2,990.93,Viviene,Chaing,Viviene Chaing,6541506829321112,Sun6402
275.98,892.72,Female,Yes,Wed,Meal,4,737.72,Esmeralda,Lissi,Esmeralda Lissi,6556508088919803,Sun9119
608.14,676.03,Female,No,Fri,Breakfast,1,797.43,Esmeralda,Campball,Esmeralda Campball,6556838437941980,Sun1235
611.82,411.49,Female,Yes,Sat,Dinner,3,93.75,Elyssa,Secrest,Elyssa Secrest,6541550962523390,Sun9457
195.17,589.62,Male,Yes,Fri,Dinner,2,430.49,Veda,Medrek,Veda Medrek,6556588960004170,Sun7686
122.29,918.43,Female,Yes,Wed,Meal,4,800.59,Suzette,Marden,Suzette Marden,6541242394080448,Sun6389
513.92,189.79,Male,Yes,Thu,Breakfast,2,66.57,Binny,Ingra,Binny Ingra,6556556700727373,Sun1610
820.13,80.57,Female,No,Fri,Dinner,1,183.24,Philis,Berne,Philis Berne,6556065853410799,Sun7163
425.49,961.65,Female,Yes,Sun,Breakfast,1,542.9,Britte,Hessler,Britte Hessler,6541740085867224,Sun7157
887.47,122.31,Female,No,Sun,Meal,4,100.66,Daryl,Adrienne,Daryl Adrienne,6556767801300027,Sun5279
200.4,613.67,Male,No,Wed,Meal,1,393.34,Mellicent,Torray,Mellicent Torray,6556977421550945,Sun0442
424.7,67.86,Female,No,Sat,Breakfast,3,857.2,Vinita,Lay,Vinita Lay,6541418852883013,Sun6874
852.89,302.39,Female,No,Fri,Dinner,1,776.96,Hildegaard,An,Hildegaard An,6556751076583961,Sun1486
375.29,170.07,Female,No,Tue,Meal,4,854.9,Evita,Colyer,Evita Colyer,6556127699641576,Sun7080
570.66,654.37,Male,Yes,Fri,Breakfast,3,296.6,Nyssa,Fabiola,Nyssa Fabiola,6556582542540953,Sun6319
697.49,998.31,Female,Yes,Mon,Dinner,3,905.79,Norine,Anton,Norine Anton,6556850749314851,Sun2561
481.47,817.57,Male,No,Mon,Breakfast,1,122.25,Wilma,Carri,Wilma Carri,6541882681500215,Sun2347
958.13,266.73,Male,Yes,Thu,Meal,4,474.09,Benita,Forrer,Benita Forrer,6556227090085941,Sun2218
119.18,206.25,Male,Yes,Thu,Dinner,1,448.82,Carolina,Birdella,Carolina Birdella,6541504987769800,Sun5859
130.5,398.85,Female,No,Tue,Breakfast,4,282.19,Gerrie,Caitlin,Gerrie Caitlin,6556295206536055,Sun8433
612.4,475.43,Male,No,Thu,Dinner,3,776.69,Aubrie,Hieronymus,Aubrie Hieronymus,6541015701819768,Sun8926
700.31,914.12,Female,Yes,Wed,Breakfast,1,338.49,Alyda,Chem,Alyda Chem,6541653748502701,Sun4882
